105,-45.497,142.03
-105.07,-45.497,142.03
-105.19,-45.021,142.08
-104.69,-44.036,142.51
-104.39,-42.909,142.91
-104.34,-41.595,143.19
-104.34,-41.595,143.19
-104.57,-38.422,143.85
-104.57,-38.422,143.85
-106.17,-36.008,143.32
-106.96,-34.547,142.76
-107.64,-32.587,142.25
-108.48,-30.739,141.77
-108.99,-28.678,141.94
-109.44,-26.951,142.53
-109.2,-24.472,143.51
-109.76,-23.459,143.84
-110.35,-22.927,143.79
-110.58,-21.832,143.69
-110.9,-20.686,143.53
-111.13,-19.138,143.45
-111.13,-16.744,143.6
-111.94,-15.58,143.4
-112.75,-14.798,143.01
-113.36,-13.941,142.7
-114.18,-13.206,142.38
-115.73,-13.487,141.39
-117.34,-14.539,140.05
-118.11,-14.951,139.36
-118.95,-15.79,138.46
-119.73,-16.539,137.2
-120.31,-16.888,136.03
-120.48,-16.875,135.53
-120.6,-17.074,135.47
-120.82,-17.21,135.37
-121.56,-16.737,135.26
-122.33,-15.527,135.68
-122.94,-15.033,136.43
-123.28,-14.831,137.32
-123.56,-14.317,138.41
-124.25,-14.235,139.19
-125.05,-14.422,139.54
-125.77,-14.359,139.81
-126.69,-14.126,140.14
-128.42,-13.94,140.49
-130.88,-13.702,140.55
-134.03,-14.458,139.84
-136.58,-14.976,139.26
-138.59,-15.281,138.83
-140.39,-15.324,138.7
-142.08,-14.946,138.79
-144.01,-14.858,138.5
-146.05,-14.533,137.92
-148.34,-14.096,136.9
-150.58,-13.727,135.92
-152.73,-13.249,135.15
-154.72,-12.229,134.55
-156.38,-10.799,134.09
-157.73,-9.1241,133.55
-158.81,-7.5752,132.72
-159.69,-6.3552,131.71
-160.55,-5.2508,130.54
-161.35,-4.2923,129.31
-162,-3.326,128.28
-162.51,-2.2073,127.51
-162.92,-1.1203,126.82
-163.35,-0.3475,126.14
-163.9,0.24283,125.69
-164.51,0.98443,125.66
-165.16,1.7418,125.85
-165.88,2.3539,126.03
-166.76,2.7793,126.08
-167.71,3.1371,126.16
-168.59,3.3407,126.26
-169.23,3.2536,126.25
-169.74,3.011,126.04
-170.31,2.6914,125.56
-170.88,2.4169,125.02
-171.34,2.2315,124.5
-171.75,2.0654,123.97
-172.23,1.848,123.33
-172.7,1.6267,122.63
-172.83,1.575,122.58
